,name,description,username,created_at,id
0,Reuters World,Your source for top international news and analysis.,ReutersWorld,2011-07-14T18:20:37.000Z,335455570
1,The Guardian,The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/gWyuUVlObq,guardian,2009-11-05T23:49:19.000Z,87818409
2,The Associated Press,"Advancing the power of facts, globally ðŸŒŽ",AP,2009-06-26T21:48:52.000Z,51241574
3,ABC News,The only official ABC News Twitter account. Download our new mobile app: https://t.co/6WupJH6wUx,ABC,2009-04-04T12:40:32.000Z,28785486
4,CBS News,"Your source for original reporting and trusted news.

ðŸ“º CBS | Streaming on the CBS News app | @ParamountPlus",CBSNews,2008-06-05T00:54:31.000Z,15012486
5,NBC News,"News updates from around the ðŸŒŽ, all day, every day.",NBCNews,2008-03-18T23:19:17.000Z,14173315
6,Al Jazeera English,"Hear the human story and join the discussion. We go beyond cold facts and bring to light what matters. For breaking news alerts, follow @AJENews.",AJEnglish,2007-04-17T08:23:08.000Z,4970411
7,The Wall Street Journal,Sign up for our newsletters and alerts: https://t.co/QevH0DLisA | Got a tip? https://t.co/iXIigdOLPr | For WSJ customer support: https://t.co/DZgH9n4vAI,WSJ,2007-04-01T06:22:13.000Z,3108351
8,The Washington Post,Democracy Dies in Darkness,washingtonpost,2007-03-27T11:19:39.000Z,2467791
9,CNN International,"Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.",cnni,2007-03-24T10:48:14.000Z,2097571
10,Reuters,"Top and breaking news, pictures and videos from Reuters. For more breaking business news, follow @ReutersBiz. Our new daily podcast is here: https://t.co/KO0QFy0d3a",Reuters,2007-03-20T17:46:05.000Z,1652541
11,The New York Times,News tips? Share them here: https://t.co/ghL9OoYKMM,nytimes,2007-03-02T20:41:42.000Z,807095
12,CNN,"Itâ€™s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",CNN,2007-02-09T00:35:02.000Z,759251
13,BBC News (World),"News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",BBCWorld,2007-02-01T07:44:29.000Z,742143
